company_id,company_founded,company_industry,company_name,company_size,company_specialties,company_region
1550,"1945.0","Hospitals and Health Care","Kaiser Permanente","10.001+ employees","Not Valuable","California"
96490188,"Not Valuable","Hospitals and Health Care","Inizio Engage","5.001-10.000 employees","Not Valuable","Pennsylvania"
18505670,"2017.0","Financial Services","Brex","1.001-5.000 employees","Not Valuable","California"
47664606,"2020.0","Software Development","Promoted.ai","2-10 employees","Not Valuable","CA"
100901807,"Not Valuable","Business Consulting and Services","Amplytics","11-50 employees","Not Valuable","CA"
10638732,"2016.0","Financial Services","Nova Credit","51-200 employees","Not Valuable","California"
4257,"Not Valuable","Insurance","Humana","10.001+ employees","Not Valuable","Kentucky"
2204084,"Not Valuable","Not Valuable","Talentify.io","Not Valuable","Not Valuable","Not Valuable"
50434,"Not Valuable","Not Valuable","Sourcebooks","Not Valuable","Not Valuable","Not Valuable"
10108666,"Not Valuable","Not Valuable","Universal Healthcare Consulting","Not Valuable","Not Valuable","Not Valuable"
213746,"Not Valuable","Not Valuable","FPC (FORTUNE PERSONNEL CONSULTANTS - Orlando Office)","Not Valuable","Not Valuable","Not Valuable"
96644436,"Not Valuable","Financial Services","Logistics Management Institute","2-10 employees","Not Valuable","Not Valuable"
62844856,"Not Valuable","Restaurants","Rock Springs Cafe & General Store","11-50 employees","Not Valuable","Not Valuable"
2683478,"Not Valuable","Not Valuable","Web Hosting Canada (WHC)","Not Valuable","Not Valuable","Not Valuable"
104197161,"Not Valuable","Staffing and Recruiting","Magenta Search","1 employee","Not Valuable","Not Valuable"
91610647,"Not Valuable","Hospitals and Health Care","The Cigna Group","10.001+ employees","Not Valuable","Not Valuable"
2076953,"Not Valuable","Not Valuable","Pagos Consultants","Not Valuable","Not Valuable","Not Valuable"
33917580,"Not Valuable","Consumer Services","Exl Service Private Limited;Noida","51-200 employees","Not Valuable","Not Valuable"
72405837,"Not Valuable","Not Valuable","Air Products and Chemicals","Not Valuable","Not Valuable","Not Valuable"
104152817,"2024.0","Information Services","Silurian AI","2-10 employees","Not Valuable","Not Valuable"
42355938,"Not Valuable","Transportation; Logistics; Supply Chain and Storage","HomeSafe Alliance","201-500 employees","Not Valuable","Not Valuable"
82485916,"2022.0","Hospitals and Health Care","Corewell Health","10.001+ employees","Not Valuable","Not Valuable"
10531907,"2004.0","Business Consulting and Services","Radiant System","11-50 employees","Not Valuable","Not Valuable"
42408658,"Not Valuable","Venture Capital and Private Equity Principals","Sidekick Partners","2-10 employees","Not Valuable","Not Valuable"
55791822,"Not Valuable","Retail","Clay Cooley Auto Group","51-200 employees","Not Valuable","Not Valuable"
105608941,"Not Valuable","Software Development","Verla Technologies","51-200 employees","Not Valuable","Not Valuable"
105607950,"Not Valuable","Software Development","Viro Software Solutions","51-200 employees","Not Valuable","Not Valuable"
84004164,"Not Valuable","Not Valuable","Interon IT Solutions","Not Valuable","Not Valuable","Not Valuable"
27367895,"Not Valuable","Not Valuable","SKML INFO TECHNOLOGY SERVICES PRIVATE LIMITED","Not Valuable","Not Valuable","Not Valuable"
245926,"1866.0","Hospitals and Health Care","NYC Department of Health and Mental Hygiene","5.001-10.000 employees","Not Valuable","New York"
2651,"Not Valuable","Government Administration","Caltrans","10.001+ employees","Not Valuable","CA"
64564430,"Not Valuable","Business Consulting and Services","Swipe Say Easy","11-50 employees","Not Valuable","Georgia"
27156989,"Not Valuable","Restaurants","Inspire","10.001+ employees","Not Valuable","Georgia"
85677,"1927.0","Paper and Forest Product Manufacturing","Georgia Pacific","10.001+ employees","Not Valuable","GA"
858214,"1973.0","Hospitals and Health Care","AdventHealth","501-1.000 employees","Not Valuable","FL"
68039134,"Not Valuable","Hospitals and Health Care","Invent Health","11-50 employees","Not Valuable","CA"
879949,"1975.0","Environmental Services","Loureiro Engineering Associates; Inc.","51-200 employees","Not Valuable","Connecticut"
14562120,"2018.0","Embedded Software Products","Swift","11-50 employees","Not Valuable","Karnataka"
5064,"1789.0","Government Administration","U.S. Department of the Treasury","10.001+ employees","Not Valuable","DC"
90426493,"2006.0","Business Consulting and Services","Get It - Real Estate","2-10 employees","Not Valuable","DC"
49685,"2005.0","Government Administration","Office of the Director of National Intelligence","1.001-5.000 employees","Not Valuable","DC"
90425499,"2006.0","Professional Services","Get It - Professional Services","2-10 employees","Not Valuable","DC"
10840032,"2016.0","Information Technology & Services","BluePath Labs (8(a) & SDVOSB)","51-200 employees","Not Valuable","DC"
6151908,"Not Valuable","Human Resources Services","DC Department of Human Resources","51-200 employees","Not Valuable","District of Columbia"
27179912,"2018.0","Staffing and Recruiting","Arrow Search Partners","51-200 employees","Not Valuable","NY"
98524765,"Not Valuable","Business Consulting and Services","AURA","51-200 employees","Not Valuable","NY"
4429732,"Not Valuable","Graphic Design","Equinox Holdings Ltd","Not Valuable","Not Valuable","NY"
74615750,"2020.0","Financial Services","Imprint","51-200 employees","Not Valuable","NY"
2184099,"2008.0","Venture Capital and Private Equity Principals","ff Venture Capital","11-50 employees","Not Valuable","Not Valuable"
12462,"1864.0","Non-profit Organizations","Girls Inc.","11-50 employees","Not Valuable","NY"
99452,"Not Valuable","Public Relations and Communications Services","IPG DXTRA","1.001-5.000 employees","Not Valuable","Not Valuable"
71685312,"Not Valuable","Armed Forces","U.S. Army CECOM","10.001+ employees","Not Valuable","Maryland"
37231,"Not Valuable","Government Administration","Cherokee Nation","10.001+ employees","Not Valuable","OK"
16226207,"Not Valuable","Biotechnology Research","Eurofins US Food; Feed; & Supplement Testing","10.001+ employees","Not Valuable","Iowa"
76438625,"2006.0","Armed Forces","U.S. Army Sustainment Command","10.001+ employees","Not Valuable","Illinois"
90638112,"2014.0","Consumer Services","YONDR","51-200 employees","Not Valuable","Not Valuable"
69088863,"1923.0","Information Services","NielsenIQ","10.001+ employees","Not Valuable","Illinois"
69043392,"Not Valuable","Hospitals and Health Care","Cardiosense","11-50 employees","Not Valuable","Illinois"
91388680,"2023.0","Education","MagicSchool AI","51-200 employees","Not Valuable","Colorado"
91431767,"2023.0","Hospitals and Health Care","Hippocratic AI","51-200 employees","Not Valuable","California"
4615,"1788.0","Government Administration","Commonwealth of Massachusetts","10.001+ employees","Not Valuable","MA"
56304,"1969.0","Medical Practices","Ophthalmic Consultants of Boston","201-500 employees","Not Valuable","MA"
86333130,"Not Valuable","Marketing Services","The MGN Foundation","11-50 employees","Not Valuable","Virginia"
1297696,"1900.0","Insurance","Globe Life","1.001-5.000 employees","Not Valuable","Texas"
102447578,"Not Valuable","Marketing Services","Surmount Innovations","11-50 employees","Not Valuable","Texas"
770704,"2011.0","Investment Management","Riveria Group","11-50 employees","Not Valuable","New York"
18244263,"1968.0","Non-profit Organizations","Heluna Health","1.001-5.000 employees","Not Valuable","CA"
35508199,"2018.0","Advertising Services","Malibu Events Promotions","11-50 employees","Not Valuable","Florida"
101266340,"Not Valuable","Marketing Services","Miracom Hive","11-50 employees","Not Valuable","Florida"
92699700,"2023.0","Staffing and Recruiting","Goliath Partners","2-10 employees","Not Valuable","Florida"
79050423,"2021.0","Venture Capital and Private Equity Principals","Coactive Science","2-10 employees","Not Valuable","Florida"
103362232,"2024.0","IT Services and IT Consulting","TrekRecruit","11-50 employees","Not Valuable","Wyoming"
11855072,"2018.0","Software Development","Dune","11-50 employees","Not Valuable","Oslo"
27451857,"1953.0","Mental Health Care","Oklahoma Department of Mental Health and Substance Abuse Services","1.001-5.000 employees","Not Valuable","Oklahoma"
2381199,"1891.0","Government Administration","City of Pasco","201-500 employees","Not Valuable","Washington"
18441463,"2018.0","Education Administration Programs","Ambition Preparatory Charter School","51-200 employees","Not Valuable","Mississippi"
64854093,"1861.0","Government Administration","Kansas Office of Judicial Administration","1.001-5.000 employees","Not Valuable","KS"
16225085,"2015.0","Wellness and Fitness Services","KidStrong","11-50 employees","Not Valuable","Texas"
4823,"1872.0","Transportation; Logistics; Supply Chain and Storage","DB Schenker","10.001+ employees","Not Valuable","Not Valuable"
80814146,"Not Valuable","Hospitals and Health Care","RVO Health","1.001-5.000 employees","Not Valuable","North Carolina"
1344,"Not Valuable","Appliances; Electrical; and Electronics Manufacturing","Honeywell","10.001+ employees","Not Valuable","North Carolina"
3211987,"2012.0","IT Services and IT Consulting","Tailored Technology Services Inc.","11-50 employees","Not Valuable","California"
9325611,"2010.0","IT Services and IT Consulting","CARE IT Services Inc","51-200 employees","Not Valuable","New Jersey"
67849,"2005.0","Software Development","Etsy","1.001-5.000 employees","Not Valuable","NY"
82825689,"Not Valuable","Software Development","Microsoft Power Platform Community","10.001+ employees","Not Valuable","Washington"
5948762,"Not Valuable","Government Relations Services","USMEPCOM","1.001-5.000 employees","Not Valuable","IL"
2449492,"1921.0","Mining","O'Neal Industries","1.001-5.000 employees","Not Valuable","AL"
53119654,"2019.0","Biotechnology Research","Enveda","201-500 employees","Not Valuable","CO"
80427781,"2021.0","Data Infrastructure and Analytics","Walmart Data Ventures","201-500 employees","Not Valuable","Arkansas"
3604763,"Not Valuable","Security and Investigations","Securitas Group","10.001+ employees","Not Valuable","Not Valuable"
91586253,"Not Valuable","Engineering Services","AtkinsRéalis","10.001+ employees","Not Valuable","QC"
1666,"1983.0","Software Development","Intuit","10.001+ employees","Not Valuable","California"
