location_id,company_country,company_locality
1,"US","Omaha"
2,"US","Oakland"
3,"US","Charlottesville"
4,"US","Yardley"
5,"US","San Francisco"
6,"US","Louisville"
7,"US","Indianapolis"
9,"US","Queens"
10,"US","Emeryville"
11,"US","Reston"
12,"US","Conshohocken"
13,"US","Raleigh"
14,"US","Not Valuable"
15,"US","New York City"
16,"US","Newport Beach"
17,"US","Manassas"
18,"US","Sacramento"
19,"US","Atlanta"
20,"US","Tupelo"
21,"US","Dallas"
22,"US","Altamonte Springs"
23,"US","Pleasanton"
24,"US","Murray"
25,"US","Glen Allen"
26,"US","Greensboro"
27,"US","Plainville"
29,"US","Smyrna"
30,"US","Elk Grove Village"
31,"US","Baltimore"
32,"US","Washington"
33,"US","New York"
34,"US","Aberdeen Proving Ground"
35,"US","Tahlequah"
37,"US","Des Moines"
38,"US","Rock Island"
39,"US","Pensacola"
40,"US","Tacoma"
42,"US","Columbia"
43,"US","Falls Church"
45,"US","Tampa"
46,"US","East Windsor"
47,"US","San Jose"
48,"US","Los Angeles"
49,"US","Davenport"
50,"US","Weston"
51,"US","Chicago"
52,"US","Denver"
53,"US","Scranton"
55,"US","Palo Alto"
56,"US","Columbus"
57,"US","Boston"
60,"US","Tulsa"
61,"US","Hanover"
63,"US","Wilkinson Terrace"
64,"US","Durham"
65,"US","McKinney"
66,"US","Arlington"
67,"US","Washington DC"
68,"US","Grand Rapids"
70,"US","City of Industry"
74,"US","BATON ROUGE"
76,"US","Seattle"
77,"US","Miami"
78,"US","Milford"
79,"US","Arcadia"
80,"US","Los Gatos"
82,"US","La Jolla"
83,"US","North Charleston"
84,"US","Cheyenne"
85,"US","Dayton"
87,"US","Oklahoma City"
88,"US","Canfield"
89,"US","Pasco"
90,"US","Chesterfield"
91,"US","Jackson"
92,"US","Southlake"
95,"US","Carrollton"
96,"US","Loveland"
97,"US","Topeka"
98,"US","Saint Charles"
100,"US","Minneapolis"
101,"US","Novato"
102,"US","Avon"
103,"US","Frisco"
104,"US","West Sacramento"
108,"US","Deerfield"
109,"US","Beaverton"
110,"US","Cincinnati"
111,"US","Rockville"
112,"US","Charlotte"
113,"US","Irvine"
114,"US","Princeton"
116,"US","Brooklyn"
117,"US","Highland"
118,"US","Redmond"
119,"US","Alexandria"
122,"US","Pigeon Forge"
123,"US","North Chicago"
124,"US","Bismarck"
125,"US","Encinitas"
126,"US","Park Ridge"
127,"US","San Antonio"
129,"US","Jacksonville"
130,"US","Santa Clara"
131,"US","Austin"
132,"US","Birmingham"
133,"US","Boulder"
134,"US","Bentonville"
139,"US","Philadelphia"
140,"US","Mountain View"
141,"US","Chapel Hill"
142,"US","Burbank"
143,"US","Menands"
144,"US","Springfield"
145,"US","Cambridge"
150,"US","Fort Worth"
151,"US","Woodbridge"
153,"US","Knoxville"
154,"US","Irving"
155,"US","Bellevue"
157,"US","West Des Moines"
159,"US","Sarasota"
160,"US","Pearland"
162,"US","Saint Paul"
163,"US","Salt Lake City"
164,"US","Woonsocket"
165,"US","Fountain Valley"
166,"US","Eden Prairie"
167,"US","Fremont"
168,"US","Ventura"
169,"US","Clive"
170,"US","Stamford"
171,"US","Redwood City"
172,"US","Costa Mesa"
173,"US","Seguin"
175,"US","Amarillo"
176,"US","Menlo Park"
178,"US","Corning"
179,"US","Brentwood"
180,"US","Houston"
181,"US","Huntington Beach"
182,"US","Albany"
183,"US","Pittsburgh"
184,"US","St. Petersburg"
185,"US","Sterling Heights"
186,"US","Wilmington"
187,"US","Naples"
188,"US","Buffalo"
189,"US","Davidson"
190,"US","Fort Eisenhower"
191,"US","Englewood"
192,"US","Foster City"
193,"US","Elk Grove"
194,"US","Hunt Valley"
195,"US","St Louis"
36,"US","Dover"
71,"US","West Valley City"
94,"US","Phoenix"
107,"US","Marietta"
146,"US","Patuxent River"
152,"US","Orlando"
58,"US","Sheridan"
59,"US","BATON ROUGE"
120,"US","San Rafael"
147,"US","Annapolis Junction"
69,"US","McLean"
72,"US","Beavercreek"
73,"US","Clinton Township"
99,"US","Cupertino"
105,"US","Las Vegas"
121,"US","Alpharetta"
128,"US","Newark"
174,"US","Saddle Brook"
177,"US","Westlake Village"
135,"US","Portland"
8,"Not Valuable","Not Valuable"
28,"IN","Bangalore"
41,"GB","London"
44,"PE","Surco"
62,"SE","Link√∂ping"
75,"DE","D-75223 Niefern √ñschelbronn"
81,"GB","Wallingford"
86,"NO","Oslo"
106,"OO","Not Valuable"
115,"GB","Reading"
136,"MX"," Cd. Sahagún"
137,"SE","Stockholm"
138,"CA","Montreal"
148,"GB","Derby"
156,"Not Valuable","Minneapolis"
158,"CH","St. Gallen"
161,"IN","Chennai"
54,"IN","Gurgaon"
93,"NL","Oldenzaal"
149,"BD","Khulna"
