job_id,employment_type_id,location_id,skill_id,seniority_level_id,industry_id,applicants,apply_type,company_about_us,company_address_type,company_employees_on_linkedin,company_followers_on_linkedin,company_headquarters,company_id,company_organization_type,company_postal_code,company_profile,company_slogan,company_street,company_twitter_description,company_website,description_text,job_function,location,posted_datetime,title,min_salary,max_salary
11,1,5,44,1,5,"Be among the first 25 applicants","External Apply","Promoted (YC W21) unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","PostalAddress","11.0","1775.0","San Francisco. CA",47664606,"Privately Held","Not Valuable","https://www.linkedin.com/company/promoted-ai","Unified search; ads; and feed optimization for scaled marketplaces and e-commerce.","Not Valuable","Promoted.ai | 1.775 followers on LinkedIn. Unified search. ads. and feed optimization for scaled marketplaces and e-commerce. | Promoted (YC W21) unifies organic search. promotions. and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","http://promoted.ai","Company Description
Promoted (YC W21) is a company that unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. They specialize in sorting marketplace search results to promote the best listings and increase revenue. The company is based in the San Francisco Bay Area and offers flexibility for remote work.
Role Description
This is a full-time hybrid role for a Senior Data Engineer at Promoted.ai. The Senior Data Engineer will be responsible for tasks such as data engineering; data modeling; ETL processes; data warehousing; and data analytics. The role is primarily located in the San Francisco Bay Area with the option for some remote work.
Qualifications
Data Engineering; ETL; Data Warehousing skills
Data Modeling and Data Analytics skills
Experience in working with large datasets
Proficiency in SQL and Python
Strong problem-solving and analytical skills
Ability to work independently and collaboratively in a team
Experience with cloud platforms such as AWS or GCP
Master's degree in Computer Science; Engineering; or related field","Information Technology","Fremont. CA","2025-01-18 14:45:58","Senior Data Engineer",0,0
12,1,5,44,1,5,"Be among the first 25 applicants","External Apply","Promoted (YC W21) unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","PostalAddress","11.0","1775.0","San Francisco. CA",47664606,"Privately Held","Not Valuable","https://www.linkedin.com/company/promoted-ai","Unified search; ads; and feed optimization for scaled marketplaces and e-commerce.","Not Valuable","Promoted.ai | 1.775 followers on LinkedIn. Unified search. ads. and feed optimization for scaled marketplaces and e-commerce. | Promoted (YC W21) unifies organic search. promotions. and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","http://promoted.ai","Company Description
Promoted (YC W21) is a company that unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. They specialize in sorting marketplace search results to promote the best listings and increase revenue. The company is based in the San Francisco Bay Area and offers flexibility for remote work.
Role Description
This is a full-time hybrid role for a Senior Data Engineer at Promoted.ai. The Senior Data Engineer will be responsible for tasks such as data engineering; data modeling; ETL processes; data warehousing; and data analytics. The role is primarily located in the San Francisco Bay Area with the option for some remote work.
Qualifications
Data Engineering; ETL; Data Warehousing skills
Data Modeling and Data Analytics skills
Experience in working with large datasets
Proficiency in SQL and Python
Strong problem-solving and analytical skills
Ability to work independently and collaboratively in a team
Experience with cloud platforms such as AWS or GCP
Master's degree in Computer Science; Engineering; or related field","Information Technology","San Francisco. CA","2025-01-18 14:45:58","Senior Data Engineer",0,0
13,1,5,44,1,5,"Be among the first 25 applicants","External Apply","Promoted (YC W21) unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","PostalAddress","11.0","1775.0","San Francisco. CA",47664606,"Privately Held","Not Valuable","https://www.linkedin.com/company/promoted-ai","Unified search; ads; and feed optimization for scaled marketplaces and e-commerce.","Not Valuable","Promoted.ai | 1.775 followers on LinkedIn. Unified search. ads. and feed optimization for scaled marketplaces and e-commerce. | Promoted (YC W21) unifies organic search. promotions. and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","http://promoted.ai","Company Description
Promoted (YC W21) is a company that unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. They specialize in sorting marketplace search results to promote the best listings and increase revenue. The company is based in the San Francisco Bay Area and offers flexibility for remote work.
Role Description
This is a full-time hybrid role for a Senior Data Engineer at Promoted.ai. The Senior Data Engineer will be responsible for tasks such as data engineering; data modeling; ETL processes; data warehousing; and data analytics. The role is primarily located in the San Francisco Bay Area with the option for some remote work.
Qualifications
Data Engineering; ETL; Data Warehousing skills
Data Modeling and Data Analytics skills
Experience in working with large datasets
Proficiency in SQL and Python
Strong problem-solving and analytical skills
Ability to work independently and collaboratively in a team
Experience with cloud platforms such as AWS or GCP
Master's degree in Computer Science; Engineering; or related field","Information Technology","Sonoma. CA","2025-01-18 14:45:58","Senior Data Engineer",0,0
14,1,5,44,1,5,"Be among the first 25 applicants","External Apply","Promoted (YC W21) unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","PostalAddress","11.0","1775.0","San Francisco. CA",47664606,"Privately Held","Not Valuable","https://www.linkedin.com/company/promoted-ai","Unified search; ads; and feed optimization for scaled marketplaces and e-commerce.","Not Valuable","Promoted.ai | 1.775 followers on LinkedIn. Unified search. ads. and feed optimization for scaled marketplaces and e-commerce. | Promoted (YC W21) unifies organic search. promotions. and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","http://promoted.ai","Company Description
Promoted (YC W21) is a company that unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. They specialize in sorting marketplace search results to promote the best listings and increase revenue. The company is based in the San Francisco Bay Area and offers flexibility for remote work.
Role Description
This is a full-time hybrid role for a Senior Data Engineer at Promoted.ai. The Senior Data Engineer will be responsible for tasks such as data engineering; data modeling; ETL processes; data warehousing; and data analytics. The role is primarily located in the San Francisco Bay Area with the option for some remote work.
Qualifications
Data Engineering; ETL; Data Warehousing skills
Data Modeling and Data Analytics skills
Experience in working with large datasets
Proficiency in SQL and Python
Strong problem-solving and analytical skills
Ability to work independently and collaboratively in a team
Experience with cloud platforms such as AWS or GCP
Master's degree in Computer Science; Engineering; or related field","Information Technology","Santa Rosa. CA","2025-01-18 14:46:58","Senior Data Engineer",0,0
15,1,5,44,1,5,"Be among the first 25 applicants","External Apply","Promoted (YC W21) unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","PostalAddress","11.0","1775.0","San Francisco. CA",47664606,"Privately Held","Not Valuable","https://www.linkedin.com/company/promoted-ai","Unified search; ads; and feed optimization for scaled marketplaces and e-commerce.","Not Valuable","Promoted.ai | 1.775 followers on LinkedIn. Unified search. ads. and feed optimization for scaled marketplaces and e-commerce. | Promoted (YC W21) unifies organic search. promotions. and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","http://promoted.ai","Company Description
Promoted (YC W21) is a company that unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. They specialize in sorting marketplace search results to promote the best listings and increase revenue. The company is based in the San Francisco Bay Area and offers flexibility for remote work.
Role Description
This is a full-time hybrid role for a Senior Data Engineer at Promoted.ai. The Senior Data Engineer will be responsible for tasks such as data engineering; data modeling; ETL processes; data warehousing; and data analytics. The role is primarily located in the San Francisco Bay Area with the option for some remote work.
Qualifications
Data Engineering; ETL; Data Warehousing skills
Data Modeling and Data Analytics skills
Experience in working with large datasets
Proficiency in SQL and Python
Strong problem-solving and analytical skills
Ability to work independently and collaboratively in a team
Experience with cloud platforms such as AWS or GCP
Master's degree in Computer Science; Engineering; or related field","Information Technology","Hayward. CA","2025-01-18 14:45:58","Senior Data Engineer",0,0
16,1,5,44,1,5,"Be among the first 25 applicants","External Apply","Promoted (YC W21) unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","PostalAddress","11.0","1775.0","San Francisco. CA",47664606,"Privately Held","Not Valuable","https://www.linkedin.com/company/promoted-ai","Unified search; ads; and feed optimization for scaled marketplaces and e-commerce.","Not Valuable","Promoted.ai | 1.775 followers on LinkedIn. Unified search. ads. and feed optimization for scaled marketplaces and e-commerce. | Promoted (YC W21) unifies organic search. promotions. and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","http://promoted.ai","Company Description
Promoted (YC W21) is a company that unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. They specialize in sorting marketplace search results to promote the best listings and increase revenue. The company is based in the San Francisco Bay Area and offers flexibility for remote work.
Role Description
This is a full-time hybrid role for a Senior Data Engineer at Promoted.ai. The Senior Data Engineer will be responsible for tasks such as data engineering; data modeling; ETL processes; data warehousing; and data analytics. The role is primarily located in the San Francisco Bay Area with the option for some remote work.
Qualifications
Data Engineering; ETL; Data Warehousing skills
Data Modeling and Data Analytics skills
Experience in working with large datasets
Proficiency in SQL and Python
Strong problem-solving and analytical skills
Ability to work independently and collaboratively in a team
Experience with cloud platforms such as AWS or GCP
Master's degree in Computer Science; Engineering; or related field","Information Technology","Alameda. CA","2025-01-18 14:46:44","Senior Data Engineer",0,0
17,1,5,44,1,5,"Be among the first 25 applicants","External Apply","Promoted (YC W21) unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","PostalAddress","11.0","1775.0","San Francisco. CA",47664606,"Privately Held","Not Valuable","https://www.linkedin.com/company/promoted-ai","Unified search; ads; and feed optimization for scaled marketplaces and e-commerce.","Not Valuable","Promoted.ai | 1.775 followers on LinkedIn. Unified search. ads. and feed optimization for scaled marketplaces and e-commerce. | Promoted (YC W21) unifies organic search. promotions. and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","http://promoted.ai","Company Description
Promoted (YC W21) is a company that unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. They specialize in sorting marketplace search results to promote the best listings and increase revenue. The company is based in the San Francisco Bay Area and offers flexibility for remote work.
Role Description
This is a full-time hybrid role for a Senior Data Engineer at Promoted.ai. The Senior Data Engineer will be responsible for tasks such as data engineering; data modeling; ETL processes; data warehousing; and data analytics. The role is primarily located in the San Francisco Bay Area with the option for some remote work.
Qualifications
Data Engineering; ETL; Data Warehousing skills
Data Modeling and Data Analytics skills
Experience in working with large datasets
Proficiency in SQL and Python
Strong problem-solving and analytical skills
Ability to work independently and collaboratively in a team
Experience with cloud platforms such as AWS or GCP
Master's degree in Computer Science; Engineering; or related field","Information Technology","Santa Clara. CA","2025-01-18 14:46:44","Senior Data Engineer",0,0
18,1,5,44,1,5,"Be among the first 25 applicants","External Apply","Promoted (YC W21) unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","PostalAddress","11.0","1775.0","San Francisco. CA",47664606,"Privately Held","Not Valuable","https://www.linkedin.com/company/promoted-ai","Unified search; ads; and feed optimization for scaled marketplaces and e-commerce.","Not Valuable","Promoted.ai | 1.775 followers on LinkedIn. Unified search. ads. and feed optimization for scaled marketplaces and e-commerce. | Promoted (YC W21) unifies organic search. promotions. and ads in one optimized system for scaled marketplaces. We sort your marketplace search and promote the best listings at the top to increase revenue.","http://promoted.ai","Company Description
Promoted (YC W21) is a company that unifies organic search; promotions; and ads in one optimized system for scaled marketplaces. They specialize in sorting marketplace search results to promote the best listings and increase revenue. The company is based in the San Francisco Bay Area and offers flexibility for remote work.
Role Description
This is a full-time hybrid role for a Senior Data Engineer at Promoted.ai. The Senior Data Engineer will be responsible for tasks such as data engineering; data modeling; ETL processes; data warehousing; and data analytics. The role is primarily located in the San Francisco Bay Area with the option for some remote work.
Qualifications
Data Engineering; ETL; Data Warehousing skills
Data Modeling and Data Analytics skills
Experience in working with large datasets
Proficiency in SQL and Python
Strong problem-solving and analytical skills
Ability to work independently and collaboratively in a team
Experience with cloud platforms such as AWS or GCP
Master's degree in Computer Science; Engineering; or related field","Information Technology","San Jose. CA","2025-01-18 14:45:58","Senior Data Engineer",0,0
19,1,5,59,1,15,"Be among the first 25 applicants","External Apply","Amplytics is a consulting firm helping utilities make better decisions using data and analytics. 

In a world drowning in data; we uncover the stories that matter. Every gigabyte of utility data holds untold potential; and our expertise lies in transforming raw numbers into powerful narratives that drive business transformation. By masterfully weaving together advanced analytics and deep utility sector knowledge; we empower companies to do more than just keep pace with industry evolution – we enable them to pioneer the future of energy services.","PostalAddress","10.0","4949.0","San Francisco. CA",100901807,"Privately Held","Not Valuable","https://www.linkedin.com/company/theamplytics","Amplify your analytics and see beyond the numbers.","Not Valuable","Amplytics | 4.949 followers on LinkedIn. Amplify your analytics and see beyond the numbers. | Amplytics is a consulting firm helping utilities make better decisions using data and analytics. 

In a world drowning in data. we uncover the stories that matter. Every gigabyte of utility data holds untold potential. and our expertise lies in transforming raw numbers into powerful narratives that drive business transformation.","https://www.theamplytics.com/","Position Overview
Amplytics is seeking a highly skilled and experienced Data Visualization Consultant. You will collaborate closely with clients to understand both their business objectives and user needs; designing data visualizations that are not only informative but also engaging and intuitive to navigate. You’ll leverage Power BI for building interactive dashboards and use wireframing tools like Miro; Figma; or Sketch to design and prototype layouts with a focus on UX design principles. This role requires a balance of data expertise and UX/UI design; ensuring that our visualizations are not only accurate and effective but also aesthetically pleasing and easy to use.
Key Responsibilities
Work closely with clients to gather data requirements and understand user workflows; business needs; and the primary use cases for dashboards and reports.
Apply UX design principles to ensure that Power BI dashboards are user-centered; visually appealing; and intuitive; promoting a seamless user experience.
Create and iterate on wireframes; mockups; and prototypes using tools like Miro; Figma; Sketch; or Adobe XD; focusing on layout; interaction flow; and usability.
Design Power BI dashboards and reports with attention to usability and aesthetics; utilizing color theory; typography; and visual hierarchy to enhance user engagement.
Conduct user research and usability testing to gather feedback on dashboard designs; refining visuals based on end-user insights to improve clarity and functionality.
Collaborate with data analysts and engineers to ensure that dashboards are built on high-quality; clean data and that the data architecture aligns with the UX design.
Educate and guide clients on how to best interpret and interact with visualizations and provide best practices for using the Power BI dashboards.
Stay up-to-date with UX design trends; Power BI features; and data visualization best practices; applying new methods to create better user experiences.
Qualifications
Bachelor’s degree in Data Science; Information Systems; Computer Science; UX/UI Design; or a related field.
3+ years of experience in data visualization; business intelligence; or UX design; with a proven track record of creating effective; user-centered data visualizations.
Proficiency in Power BI with a portfolio showcasing interactive dashboards and user-centered designs.
Experience in wireframing; prototyping; and visual design tools such as Miro; Figma; Sketch; or Adobe XD.
Strong understanding of UX design principles; including user journey mapping; information architecture; and interaction design.
Knowledge of data visualization best practices; with the ability to apply color; contrast; typography; and layout to improve clarity and aesthetics.
Familiarity with data processing and manipulation (e.g.; SQL; Excel) and how data structure impacts the UX.
Excellent communication and interpersonal skills to translate technical data insights into accessible and user-friendly visuals for a diverse audience.
Preferred Qualifications
Experience in additional visualization tools like Tableau; D3.js; or Adobe Illustrator.
Previous experience in a client-facing consulting role focused on data and analytics.
Amplytics is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race; color; religion; gender; gender identity or expression; sexual orientation; national origin; genetics; disability; age; or veteran status. We believe in fostering an inclusive workplace where differences are celebrated; and all employees can truly be themselves. Our diversity fuels our innovation and connects us closer to our customers and the communities we serve.","Information Technology","Hayward. CA","2025-01-18 14:46:34","Data Visualization Consultant",0,0
20,1,5,59,1,15,"Be among the first 25 applicants","External Apply","Amplytics is a consulting firm helping utilities make better decisions using data and analytics. 

In a world drowning in data; we uncover the stories that matter. Every gigabyte of utility data holds untold potential; and our expertise lies in transforming raw numbers into powerful narratives that drive business transformation. By masterfully weaving together advanced analytics and deep utility sector knowledge; we empower companies to do more than just keep pace with industry evolution – we enable them to pioneer the future of energy services.","PostalAddress","10.0","4949.0","San Francisco. CA",100901807,"Privately Held","Not Valuable","https://www.linkedin.com/company/theamplytics","Amplify your analytics and see beyond the numbers.","Not Valuable","Amplytics | 4.949 followers on LinkedIn. Amplify your analytics and see beyond the numbers. | Amplytics is a consulting firm helping utilities make better decisions using data and analytics. 

In a world drowning in data. we uncover the stories that matter. Every gigabyte of utility data holds untold potential. and our expertise lies in transforming raw numbers into powerful narratives that drive business transformation.","https://www.theamplytics.com/","Position Overview
Amplytics is seeking a highly skilled and experienced Data Visualization Consultant. You will collaborate closely with clients to understand both their business objectives and user needs; designing data visualizations that are not only informative but also engaging and intuitive to navigate. You’ll leverage Power BI for building interactive dashboards and use wireframing tools like Miro; Figma; or Sketch to design and prototype layouts with a focus on UX design principles. This role requires a balance of data expertise and UX/UI design; ensuring that our visualizations are not only accurate and effective but also aesthetically pleasing and easy to use.
Key Responsibilities
Work closely with clients to gather data requirements and understand user workflows; business needs; and the primary use cases for dashboards and reports.
Apply UX design principles to ensure that Power BI dashboards are user-centered; visually appealing; and intuitive; promoting a seamless user experience.
Create and iterate on wireframes; mockups; and prototypes using tools like Miro; Figma; Sketch; or Adobe XD; focusing on layout; interaction flow; and usability.
Design Power BI dashboards and reports with attention to usability and aesthetics; utilizing color theory; typography; and visual hierarchy to enhance user engagement.
Conduct user research and usability testing to gather feedback on dashboard designs; refining visuals based on end-user insights to improve clarity and functionality.
Collaborate with data analysts and engineers to ensure that dashboards are built on high-quality; clean data and that the data architecture aligns with the UX design.
Educate and guide clients on how to best interpret and interact with visualizations and provide best practices for using the Power BI dashboards.
Stay up-to-date with UX design trends; Power BI features; and data visualization best practices; applying new methods to create better user experiences.
Qualifications
Bachelor’s degree in Data Science; Information Systems; Computer Science; UX/UI Design; or a related field.
3+ years of experience in data visualization; business intelligence; or UX design; with a proven track record of creating effective; user-centered data visualizations.
Proficiency in Power BI with a portfolio showcasing interactive dashboards and user-centered designs.
Experience in wireframing; prototyping; and visual design tools such as Miro; Figma; Sketch; or Adobe XD.
Strong understanding of UX design principles; including user journey mapping; information architecture; and interaction design.
Knowledge of data visualization best practices; with the ability to apply color; contrast; typography; and layout to improve clarity and aesthetics.
Familiarity with data processing and manipulation (e.g.; SQL; Excel) and how data structure impacts the UX.
Excellent communication and interpersonal skills to translate technical data insights into accessible and user-friendly visuals for a diverse audience.
Preferred Qualifications
Experience in additional visualization tools like Tableau; D3.js; or Adobe Illustrator.
Previous experience in a client-facing consulting role focused on data and analytics.
Amplytics is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race; color; religion; gender; gender identity or expression; sexual orientation; national origin; genetics; disability; age; or veteran status. We believe in fostering an inclusive workplace where differences are celebrated; and all employees can truly be themselves. Our diversity fuels our innovation and connects us closer to our customers and the communities we serve.","Information Technology","Fremont. CA","2025-01-18 14:46:33","Data Visualization Consultant",0,0
